"grantee","table_schema","table_name","privilege_type"
"PUBLIC","pg_catalog","pg_cast","SELECT"
"PUBLIC","pg_catalog","pg_enum","SELECT"
"PUBLIC","pg_catalog","pg_namespace","SELECT"
"PUBLIC","pg_catalog","pg_conversion","SELECT"
"PUBLIC","pg_catalog","pg_depend","SELECT"
"PUBLIC","pg_catalog","pg_database","SELECT"
"PUBLIC","pg_catalog","pg_db_role_setting","SELECT"
"PUBLIC","pg_catalog","pg_tablespace","SELECT"
"PUBLIC","pg_catalog","pg_auth_members","SELECT"
"PUBLIC","pg_catalog","pg_shdepend","SELECT"
"PUBLIC","pg_catalog","pg_shdescription","SELECT"
"PUBLIC","pg_catalog","pg_ts_config","SELECT"
"PUBLIC","pg_catalog","pg_ts_config_map","SELECT"
"PUBLIC","pg_catalog","pg_ts_dict","SELECT"
"PUBLIC","pg_catalog","pg_ts_parser","SELECT"
"PUBLIC","pg_catalog","pg_ts_template","SELECT"
"PUBLIC","pg_catalog","pg_extension","SELECT"
"PUBLIC","pg_catalog","pg_foreign_data_wrapper","SELECT"
"PUBLIC","pg_catalog","pg_foreign_server","SELECT"
"PUBLIC","pg_catalog","pg_policy","SELECT"
"PUBLIC","pg_catalog","pg_replication_origin","SELECT"
"PUBLIC","pg_catalog","pg_default_acl","SELECT"
"PUBLIC","pg_catalog","pg_init_privs","SELECT"
"PUBLIC","pg_catalog","pg_seclabel","SELECT"
"PUBLIC","pg_catalog","pg_shseclabel","SELECT"
"PUBLIC","pg_catalog","pg_collation","SELECT"
"PUBLIC","pg_catalog","pg_parameter_acl","SELECT"
"PUBLIC","pg_catalog","pg_partitioned_table","SELECT"
"PUBLIC","pg_catalog","pg_range","SELECT"
"PUBLIC","pg_catalog","pg_transform","SELECT"
"PUBLIC","pg_catalog","pg_sequence","SELECT"
"PUBLIC","pg_catalog","pg_publication","SELECT"
"PUBLIC","pg_catalog","pg_publication_namespace","SELECT"
"PUBLIC","pg_catalog","pg_publication_rel","SELECT"
"PUBLIC","pg_catalog","pg_subscription_rel","SELECT"
"PUBLIC","pg_catalog","pg_group","SELECT"
"PUBLIC","pg_catalog","pg_user","SELECT"
"PUBLIC","pg_catalog","pg_policies","SELECT"
"PUBLIC","pg_catalog","pg_rules","SELECT"
"PUBLIC","pg_catalog","pg_views","SELECT"
"PUBLIC","pg_catalog","pg_matviews","SELECT"
"PUBLIC","pg_catalog","pg_indexes","SELECT"
"PUBLIC","pg_catalog","pg_sequences","SELECT"
"PUBLIC","pg_catalog","pg_stats","SELECT"
"PUBLIC","pg_catalog","pg_stats_ext","SELECT"
"PUBLIC","pg_catalog","pg_stats_ext_exprs","SELECT"
"PUBLIC","pg_catalog","pg_publication_tables","SELECT"
"PUBLIC","pg_catalog","pg_locks","SELECT"
"PUBLIC","pg_catalog","pg_cursors","SELECT"
"PUBLIC","pg_catalog","pg_available_extensions","SELECT"
"PUBLIC","pg_catalog","pg_available_extension_versions","SELECT"
"PUBLIC","pg_catalog","pg_prepared_xacts","SELECT"
"PUBLIC","pg_catalog","pg_prepared_statements","SELECT"
"PUBLIC","pg_catalog","pg_seclabels","SELECT"
"PUBLIC","pg_catalog","pg_timezone_abbrevs","SELECT"
"PUBLIC","pg_catalog","pg_timezone_names","SELECT"
"PUBLIC","pg_catalog","pg_stat_all_tables","SELECT"
"PUBLIC","pg_catalog","pg_stat_xact_all_tables","SELECT"
"PUBLIC","pg_catalog","pg_stat_xact_user_tables","SELECT"
"PUBLIC","pg_catalog","pg_stat_sys_tables","SELECT"
"PUBLIC","pg_catalog","pg_stat_xact_sys_tables","SELECT"
"PUBLIC","pg_catalog","pg_stat_user_tables","SELECT"
"PUBLIC","pg_catalog","pg_statio_all_tables","SELECT"
"PUBLIC","pg_catalog","pg_statio_sys_tables","SELECT"
"PUBLIC","pg_catalog","pg_statio_user_tables","SELECT"
"PUBLIC","pg_catalog","pg_stat_all_indexes","SELECT"
"PUBLIC","pg_catalog","pg_stat_sys_indexes","SELECT"
"PUBLIC","pg_catalog","pg_stat_user_indexes","SELECT"
"PUBLIC","pg_catalog","pg_statio_all_indexes","SELECT"
"PUBLIC","pg_catalog","pg_statio_sys_indexes","SELECT"
"PUBLIC","pg_catalog","pg_statio_user_indexes","SELECT"
"PUBLIC","pg_catalog","pg_stat_activity","SELECT"
"PUBLIC","pg_catalog","pg_stat_replication","SELECT"
"PUBLIC","pg_catalog","pg_stat_slru","SELECT"
"PUBLIC","pg_catalog","pg_stat_wal_receiver","SELECT"
"PUBLIC","pg_catalog","pg_stat_recovery_prefetch","SELECT"
"PUBLIC","pg_catalog","pg_stat_subscription","SELECT"
"PUBLIC","pg_catalog","pg_stat_ssl","SELECT"
"PUBLIC","pg_catalog","pg_stat_gssapi","SELECT"
"PUBLIC","pg_catalog","pg_replication_slots","SELECT"
"PUBLIC","pg_catalog","pg_stat_replication_slots","SELECT"
"PUBLIC","pg_catalog","pg_stat_database","SELECT"
"PUBLIC","pg_catalog","pg_stat_database_conflicts","SELECT"
"PUBLIC","pg_catalog","pg_stat_user_functions","SELECT"
"PUBLIC","pg_catalog","pg_stat_xact_user_functions","SELECT"
"PUBLIC","pg_catalog","pg_stat_archiver","SELECT"
"PUBLIC","pg_catalog","pg_stat_bgwriter","SELECT"
"PUBLIC","pg_catalog","pg_stat_checkpointer","SELECT"
"PUBLIC","pg_catalog","pg_stat_io","SELECT"
"PUBLIC","pg_catalog","pg_stat_wal","SELECT"
"PUBLIC","pg_catalog","pg_stat_progress_analyze","SELECT"
"PUBLIC","pg_catalog","pg_stat_progress_vacuum","SELECT"
"PUBLIC","pg_catalog","pg_stat_progress_cluster","SELECT"
"PUBLIC","pg_catalog","pg_stat_progress_create_index","SELECT"
"PUBLIC","pg_catalog","pg_stat_progress_basebackup","SELECT"
"PUBLIC","pg_catalog","pg_stat_progress_copy","SELECT"
"PUBLIC","pg_catalog","pg_user_mappings","SELECT"
"PUBLIC","pg_catalog","pg_stat_subscription_stats","SELECT"
"PUBLIC","pg_catalog","pg_wait_events","SELECT"
"PUBLIC","information_schema","column_column_usage","SELECT"
"PUBLIC","information_schema","information_schema_catalog_name","SELECT"
"PUBLIC","information_schema","check_constraints","SELECT"
"PUBLIC","information_schema","applicable_roles","SELECT"
"PUBLIC","information_schema","administrable_role_authorizations","SELECT"
"PUBLIC","information_schema","attributes","SELECT"
"PUBLIC","information_schema","collations","SELECT"
"PUBLIC","information_schema","character_sets","SELECT"
"PUBLIC","information_schema","check_constraint_routine_usage","SELECT"
"PUBLIC","information_schema","column_privileges","SELECT"
"PUBLIC","information_schema","collation_character_set_applicability","SELECT"
"PUBLIC","information_schema","column_domain_usage","SELECT"
"PUBLIC","information_schema","column_udt_usage","SELECT"
"PUBLIC","information_schema","columns","SELECT"
"PUBLIC","information_schema","constraint_column_usage","SELECT"
"PUBLIC","information_schema","constraint_table_usage","SELECT"
"PUBLIC","information_schema","domain_constraints","SELECT"
"PUBLIC","information_schema","routine_table_usage","SELECT"
"PUBLIC","information_schema","domain_udt_usage","SELECT"
"PUBLIC","information_schema","domains","SELECT"
"PUBLIC","information_schema","enabled_roles","SELECT"
"PUBLIC","information_schema","routines","SELECT"
"PUBLIC","information_schema","key_column_usage","SELECT"
"PUBLIC","information_schema","parameters","SELECT"
"PUBLIC","information_schema","referential_constraints","SELECT"
"PUBLIC","information_schema","schemata","SELECT"
"PUBLIC","information_schema","role_column_grants","SELECT"
"PUBLIC","information_schema","routine_column_usage","SELECT"
"PUBLIC","information_schema","routine_privileges","SELECT"
"PUBLIC","information_schema","sequences","SELECT"
"PUBLIC","information_schema","role_routine_grants","SELECT"
"PUBLIC","information_schema","routine_routine_usage","SELECT"
"PUBLIC","information_schema","routine_sequence_usage","SELECT"
"PUBLIC","information_schema","sql_features","SELECT"
"PUBLIC","information_schema","sql_implementation_info","SELECT"
"PUBLIC","information_schema","role_table_grants","SELECT"
"PUBLIC","information_schema","sql_sizing","SELECT"
"PUBLIC","information_schema","table_privileges","SELECT"
"PUBLIC","information_schema","table_constraints","SELECT"
"PUBLIC","information_schema","tables","SELECT"
"PUBLIC","information_schema","triggered_update_columns","SELECT"
"PUBLIC","information_schema","triggers","SELECT"
"PUBLIC","information_schema","udt_privileges","SELECT"
"PUBLIC","information_schema","role_udt_grants","SELECT"
"PUBLIC","information_schema","usage_privileges","SELECT"
"PUBLIC","information_schema","foreign_tables","SELECT"
"PUBLIC","information_schema","role_usage_grants","SELECT"
"PUBLIC","information_schema","foreign_data_wrapper_options","SELECT"
"PUBLIC","information_schema","user_defined_types","SELECT"
"PUBLIC","information_schema","view_column_usage","SELECT"
"PUBLIC","information_schema","view_routine_usage","SELECT"
"PUBLIC","information_schema","foreign_data_wrappers","SELECT"
"PUBLIC","information_schema","view_table_usage","SELECT"
"PUBLIC","information_schema","views","SELECT"
"PUBLIC","information_schema","data_type_privileges","SELECT"
"PUBLIC","information_schema","element_types","SELECT"
"PUBLIC","information_schema","column_options","SELECT"
"PUBLIC","information_schema","foreign_server_options","SELECT"
"PUBLIC","information_schema","foreign_servers","SELECT"
"PUBLIC","information_schema","foreign_table_options","SELECT"
"PUBLIC","information_schema","user_mapping_options","SELECT"
"PUBLIC","information_schema","user_mappings","SELECT"
